0.333,255.7
0.593,255.8
0.802,255.9
0.992,255.6
1.161,255.7
1.307,255.7
1.432,255.7
1.540,255.6
1.633,255.4
1.715,255.2
1.792,254.9
1.861,254.5
1.921,254.2
1.977,253.9
2.027,253.6
2.073,253.3
2.117,253.1
2.161,252.4
2.204,251.5
2.245,250.5
2.285,249.4
2.314,248.4
2.332,247.4
2.347,246.4
2.359,245.5
2.367,244.6
2.374,243.9
2.374,243.1
2.369,242.3
2.358,241.5
2.340,240.7
2.320,239.9
2.302,239.2
2.280,238.4
2.253,237.6
2.230,236.8
2.207,236.1
2.180,235.2
2.149,234.3
2.118,233.3
2.081,232.3
2.043,231.2
2.003,230.0
1.967,228.9
1.930,227.7
1.896,226.6
1.857,225.3
1.811,224.0
1.758,222.4
1.704,220.9
1.649,219.4
1.601,218.0
1.555,216.6
1.508,215.4
1.458,214.3
1.409,213.3
1.365,212.3
1.324,211.3
1.284,210.2
1.250,209.2
1.220,208.2
1.190,207.2
1.163,206.3
1.140,205.4
1.120,204.4
1.100,203.3
1.081,202.3
1.064,201.3
1.047,200.4
1.028,199.5
1.005,198.8
0.979,197.6
0.953,196.5
0.926,195.6
0.898,194.8
0.870,194.0
0.845,193.3
0.825,192.6
0.804,191.9
0.785,191.3
0.764,189.9
0.746,188.4
0.728,186.6
0.713,184.7
0.696,182.6
0.679,180.6
0.668,178.9
0.658,177.1
0.648,175.4
0.638,173.7
0.630,172.0
0.624,170.3
0.622,168.9
0.619,167.5
0.615,166.3
0.611,165.3
0.609,164.3
0.605,163.5
0.602,162.6
0.600,161.5
0.598,160.6
0.594,159.6
0.589,158.7
0.584,158.1
0.580,157.3
0.575,156.6
0.571,155.8
0.565,155.1
0.558,154.3
0.555,153.5
0.553,153.0
0.550,152.3
0.548,151.9
0.543,151.3
0.538,150.7
0.536,150.0
0.534,149.2
0.532,148.7
0.531,148.5
0.533,148.4
0.534,148.5
0.535,148.5
0.535,148.6
0.536,148.7
0.536,148.8
0.537,148.9
0.539,148.9
0.542,149.0
0.549,149.4
0.556,150.1
0.561,150.9
0.567,151.6
0.573,152.3
0.586,153.3
0.597,154.8
0.606,156.7
0.630,158.9
0.652,161.9
0.682,165.2
0.730,168.8
0.784,172.2
0.842,175.8
0.898,178.9
0.957,181.7
1.012,184.5
1.139,186.9
1.265,189.5
1.381,191.8
1.492,193.9
1.597,195.7
1.706,198.4
1.807,200.6
1.906,202.5
2.043,206.7
2.280,214.1
3.600,237.3
4.934,246.4
6.182,251.1
7.330,254.0
8.372,255.9
9.300,257.7
10.163,259.0
12.511,261.1
14.632,262.5
16.562,263.5
18.301,264.2
19.856,264.6
21.256,265.0
22.512,265.3
22.065,265.3
21.661,265.3
22.853,265.6
22.325,265.5
23.433,265.7
24.419,265.9
25.331,266.0
26.152,266.2
25.296,266.0
