0.50,41.0
0.60,41.0
0.80,41.0
0.70,41.0
0.80,41.0
0.80,41.0
0.80,41.0
0.90,41.0
0.70,41.0
0.70,41.0
0.70,41.0
0.70,41.0
0.60,41.0
0.60,41.0
0.50,41.0
0.50,41.0
0.60,41.0
0.60,41.0
0.90,41.0
0.80,41.0
0.90,41.0
0.80,41.0
0.60,41.0
0.60,41.0
0.50,41.0
0.50,41.0
0.50,41.0
0.50,41.0
0.50,41.0
0.50,41.0
0.50,41.0
0.60,41.0
0.80,41.0
0.80,41.0
0.90,41.0
0.80,41.0
0.70,41.0
0.70,41.0
0.50,41.0
0.50,41.0
0.50,41.0
0.50,41.0
0.50,41.0
0.50,41.0
0.50,41.0
0.60,41.0
0.80,41.0
0.80,41.0
0.80,41.0
0.80,41.0
0.90,41.0
0.80,41.0
0.70,41.0
0.50,41.0
0.50,41.0
0.50,41.0
